Symbol,Name,LastSale,MarketCap,ADR TSO,Country,IPOyear,Sector,Industry,Summary Quote
UBIO,Proshares UltraPro Nasdaq Biotechnology,37.52,39392810.8,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ubio
TQQQ,ProShares UltraPro QQQ,111.83,1940250500,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/tqqq
ZBIO,ProShares UltraPro Short NASDAQ Biotechnology,10.75,5375010.75,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/zbio
SQQQ,ProShares UltraPro Short QQQ,27.45,673493792.9,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sqqq
BIS,ProShares UltraShort Nasdaq Biotechnology,21.04,43868357.92,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bis
RGNX,REGENXBIO Inc.,28.25,874307639.8,n/a,United States,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/rgnx
RLJE,"RLJ Entertainment, Inc.",3.5,47457214,n/a,United States,n/a,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/rlje
SASR,"Sandy Spring Bancorp, Inc.",39.9,964726140,n/a,United States,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sasr
SVBI,Severn Bancorp Inc,6.8,82533918.8,n/a,United States,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/svbi
SHBI,Shore Bancshares Inc,16.4,208062978.8,n/a,United States,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/shbi
SBGI,"Sinclair Broadcast Group, Inc.",29.35,3014259910,n/a,United States,1995,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/sbgi
SPEX,Spherix Incorporated,1.43,8908754.14,n/a,United States,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/spex
SCMP,"Sucampo Pharmaceuticals, Inc.",11.8,549319051.6,n/a,United States,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/scmp
SUPN,"Supernus Pharmaceuticals, Inc.",39.05,1979800246,n/a,United States,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/supn
TROW,"T. Rowe Price Group, Inc.",86.67,20831824480,n/a,United States,1986,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/trow
GLBL,"TerraForm Global, Inc.",4.775,832348777,n/a,United States,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/glbl
TERP,"TerraForm Power, Inc.",13.36,1877947131,n/a,United States,2014,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/terp
TESS,TESSCO Technologies Incorporated,12.95,108403155,n/a,United States,1994,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/tess
TCFC,The Community Financial Corporation,35.41,164631783.8,n/a,United States,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/tcfc
KEYW,The KEYW Holding Corporation,7.56,376418009.5,n/a,United States,2010,Technology,EDP Services,http://www.nasdaq.com/symbol/keyw
UTHR,United Therapeutics Corporation,114.6,4978555652,n/a,United States,1999,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/uthr
UONE,"Urban One, Inc. ",1.65,77700983.25,n/a,United States,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/uone
UONEK,"Urban One, Inc. ",1.6,75346408,n/a,United States,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/uonek
VNDA,Vanda Pharmaceuticals Inc.,18.6,834364435.8,n/a,United States,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/vnda
XBIO,"Xenetic Biosciences, Inc.",2.3451,20443505.4,n/a,United States,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/xbio
