"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"ACXM","Acxiom Corporation","24.34","1938568086.74","n/a","United States","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acxm",
"CRMT","America&#39;s Car-Mart, Inc.","40.9","301266986.9","n/a","United States","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/crmt",
"ARCB","ArcBest Corporation","30.75","790466603.25","n/a","United States","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/arcb",
"OZRK","Bank of the Ozarks","45.56","5840480050.68","n/a","United States","1997","Finance","Major Banks","http://www.nasdaq.com/symbol/ozrk",
"BSF","Bear State Financial, Inc.","10.25","386560002.75","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bsf",
"HOMB","Home BancShares, Inc.","23.44","3348430534.08","n/a","United States","2006","Finance","Major Banks","http://www.nasdaq.com/symbol/homb",
"JBHT","J.B. Hunt Transport Services, Inc.","105.74","11571704800.22","n/a","United States","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/jbht",
"PTSI","P.A.M. Transportation Services, Inc.","21.1","133828416.9","n/a","United States","1986","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/ptsi",
"SFNC","Simmons First National Corporation","54.85","1766918044.3","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sfnc",
"UNIT","Uniti Group Inc.","16.52","2898410079.04","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/unit",
"USAK","USA Truck, Inc.","12.48","103544937.6","n/a","United States","1992","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/usak",
"WIN","Windstream Holdings, Inc.","1.93","368298331.43","n/a","United States","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/win",
