Symbol,Name,LastSale,MarketCap,ADR TSO,Country,IPOyear,Sector,Industry,Summary Quote
NBLX,Noble Midstream Partners LP,50.36,1809695161,n/a,United States,2016,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/nblx
NS,Nustar Energy L.P.,40.02,3723102061,n/a,United States,n/a,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/ns
NS^A,Nustar Energy L.P.,26.5,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ns^a
NS^B,Nustar Energy L.P.,25.31,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ns^b
NSH,"Nustar GP Holdings, LLC",21.55,925610191,n/a,United States,n/a,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/nsh
NSS,"NuStar Logistics, L.P.",25.7,0,n/a,United States,n/a,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/nss
OAS,Oasis Petroleum Inc.,8.62,2046521101,n/a,United States,2010,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/oas
OXY,Occidental Petroleum Corporation,62.94,48122229844,n/a,United States,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/oxy
OII,"Oceaneering International, Inc.",25.94,2549114021,n/a,United States,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/oii
OIS,"Oil States International, Inc.",25.1,1282617580,n/a,United States,2001,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/ois
OME,Omega Protein Corporation,16.35,367292138.9,n/a,United States,1998,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/ome
ORN,"Orion Group Holdings, Inc.",5.84,164708381.6,n/a,United States,n/a,Basic Industries,Military/Government/Technical,http://www.nasdaq.com/symbol/orn
ROYT,Pacific Coast Oil Trust,1.58,60961389.64,n/a,United States,2012,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/royt
PKD,Parker Drilling Company,1.2,165906212.4,n/a,United States,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/pkd
PBT,Permian Basin Royalty Trust,8.43,392912150.3,n/a,United States,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/pbt
PSX,Phillips 66,89.89,45979704194,n/a,United States,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/psx
PSXP,Phillips 66 Partners LP,51.4,5679982803,n/a,United States,2013,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/psxp
PIR,"Pier 1 Imports, Inc.",4.15,350899095.9,n/a,United States,n/a,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/pir
