"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"CYAN","Cyanotech Corporation","4.15","23594331.15","n/a","United States","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/cyan",
"FHB","First Hawaiian, Inc.","28.95","4039874504.25","n/a","United States","2016","Finance","Major Banks","http://www.nasdaq.com/symbol/fhb",
"HA","Hawaiian Holdings, Inc.","37.7","2019240802.8","n/a","United States","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/ha",
"HCOM","Hawaiian Telcom Holdco, Inc.","29.7","344162501.1","n/a","United States","n/a","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/hcom",
"TBNK","Territorial Bancorp Inc.","30.52","300024967.76","n/a","United States","2009","Finance","Savings Institutions","http://www.nasdaq.com/symbol/tbnk",
