Symbol,Name,LastSale,MarketCap,ADR TSO,Country,IPOyear,Sector,Industry,Summary Quote
KEYS,Keysight Technologies Inc.,40.5,7533295286,n/a,United States,2014,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/keys
KRC,Kilroy Realty Corporation,69.75,6860957983,n/a,United States,1997,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/krc
KFN^,KKR Financial Holdings LLC,26.1,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kfn^
KFY,Korn/Ferry International,38.43,2171006352,n/a,United States,1999,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/kfy
LFGR,Leaf Group Ltd.,6.9,142789635,n/a,United States,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/lfgr
LC,LendingClub Corporation,6.06,2493084624,n/a,United States,2014,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/lc
LYV,"Live Nation Entertainment, Inc.",43.5,8966964459,n/a,United States,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/lyv
LTC,"LTC Properties, Inc.",46.39,1835373867,n/a,United States,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ltc
WLH,Lyon William Homes,22.11,706624036.5,n/a,United States,2013,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/wlh
MAC,Macerich Company (The),52.72,7455369171,n/a,United States,1994,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mac
MRIN,Marin Software Incorporated,2,79095814,n/a,United States,2013,Technology,EDP Services,http://www.nasdaq.com/symbol/mrin
MXL,"MaxLinear, Inc",22.95,1527157673,n/a,United States,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/mxl
MCK,McKesson Corporation,154.01,32382224379,n/a,United States,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/mck
MCY,Mercury General Corporation,56.73,3137797398,n/a,United States,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/mcy
MODN,"Model N, Inc.",14.5,421848529,n/a,United States,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/modn
MOH,Molina Healthcare Inc,65.32,3730947760,n/a,United States,2003,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/moh
MULE,"MuleSoft, Inc.",20.26,2612368222,n/a,United States,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mule
NPTN,NeoPhotonics Corporation,5.9,257468973.1,n/a,United States,2011,Technology,Semiconductors,http://www.nasdaq.com/symbol/nptn
NVRO,Nevro Corp.,87.7,2582156801,n/a,United States,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/nvro
NEWR,"New Relic, Inc.",48.01,2617315561,n/a,United States,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/newr
NOC,Northrop Grumman Corporation,281.55,49016250447,n/a,United States,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/noc
OAK,"Oaktree Capital Group, LLC",46.55,7271848050,n/a,United States,2012,Finance,Investment Managers,http://www.nasdaq.com/symbol/oak
ASGN,"On Assignment, Inc.",51.37,2712589511,n/a,United States,1992,Technology,Professional Services,http://www.nasdaq.com/symbol/asgn
ORCL,Oracle Corporation,48.16,2.00974E+11,n/a,United States,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/orcl
PAI,"Pacific American Income Shares, Inc.",16.8,159087784.8,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pai
PCG,Pacific Gas & Electric Co.,68.9,35333412236,n/a,United States,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/pcg
PANW,"Palo Alto Networks, Inc.",140.26,12881809975,n/a,United States,2012,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/panw
P,"Pandora Media, Inc.",8.23,1996771768,n/a,United States,2011,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/p
PMT,PennyMac Mortgage Investment Trust,17.2,1149690914,n/a,United States,2009,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/pmt
PMT^A,PennyMac Mortgage Investment Trust,25.1336,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pmt^a
PMT^B,PennyMac Mortgage Investment Trust,25.08,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pmt^b
PCM,"PIMCO Commercial Mortgage Securities Trust, Inc.",11.6,134148907.6,n/a,United States,1993,n/a,n/a,http://www.nasdaq.com/symbol/pcm
RCS,"PIMCO Strategic Income Fund, Inc.",9.72,413745903.7,n/a,United States,1994,n/a,n/a,http://www.nasdaq.com/symbol/rcs
PLT,"Plantronics, Inc.",43.56,1463927585,n/a,United States,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/plt
PSB^V,"PS Business Parks, Inc.",25.71,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/psb^v
PSB,"PS Business Parks, Inc.",134.45,3659053658,n/a,United States,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/psb
PSB^U,"PS Business Parks, Inc.",25.23,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/psb^u
